opDate,rqmcl,rzmre,rqyl,rzye
2014-08-01,499792345,20877644942,604541045,282807951055
2014-08-04,622623693,21361247609,669994503,285698012007
2014-08-05,535884671,21974257920,646019448,288090413294
2014-08-06,600292309,22133809226,718356226,291615855527
2014-08-07,503910514,21831148630,553475703,294718230086
2014-08-08,457482616,16839331892,511141987,295837518089
2014-08-11,628749710,19756935325,595874736,297415010530
2014-08-12,519066175,20662634626,566152801,300455598098
2014-08-13,552469178,22784891797,549787632,304160550816
2014-08-14,524203849,21440618954,537777146,307293179271
2014-08-15,648326303,19882847811,549070930,308505667412
2014-08-18,523299838,22116914462,545878941,311144915581
2014-08-19,651976796,24478938058,558964767,314000082686
2014-08-20,585841603,21102254552,559844185,316919893355
2014-08-21,520977083,20937372387,522418447,319781417111
2014-08-22,558178032,20931605475,539562024,320712615102
2014-08-25,621002441,20660713907,525815421,322692875254
2014-08-26,514061085,19645912134,477910818,324639044384
2014-08-27,621260285,15775159716,466948496,327033468171
2014-08-28,647097944,18075448159,416710514,331974283614
2014-08-29,584884633,14869789058,427854960,333028014188
2014-09-01,526996495,19375199451,420833944,334993392377
2014-09-02,748140249,25074482942,459853238,334304257645
2014-09-03,754505396,28142266923,510673136,334451881572
2014-09-04,631924778,27868392314,557972740,337616642418
2014-09-05,718005670,27435309267,607844092,337114774267
2014-09-09,674256665,29429506399,604878031,342444319645
2014-09-10,689374080,26516564784,524305237,347084945437
2014-09-11,813463327,31551508007,508336149,351356901278
2014-09-12,677360994,25877300283,524061365,354592937514
2014-09-15,741223637,30277233230,493654518,360155185805
2014-09-16,882829505,38576347008,494045733,364561939383
2014-09-17,759755012,24747959534,481116386,368035491871
2014-09-18,910651338,23454655704,515412100,371022528916
2014-09-19,779322832,23437077528,505039270,371414736256
2014-09-22,611299373,26802465503,444658130,377641662610
2014-09-23,851878416,22613124910,476327632,380499940014
2014-09-24,1100530763,35224990253,516421911,388077718595
2014-09-25,904722652,35791324236,488477394,393151191091
2014-09-26,850494322,27354261183,519168328,395131055448
2014-09-29,757653472,28613142315,507492826,393042488212
2014-09-30,672778691,27147344071,447007098,386227534354
2014-10-08,923699622,37442090357,559818258,397396842118
2014-10-09,811258045,36582698297,547404751,403598187437
2014-10-10,768465628,34135897574,536135153,407459730065
2014-10-13,749586286,31602674452,519860635,413817989559
2014-10-14,783993509,30016767013,534018157,417913475124
2014-10-15,774764311,31845671858,552337971,422266917101
2014-10-16,931306322,35283134771,585040803,424530873677
2014-10-17,743205694,29063327336,487718729,425311288395
2014-10-20,748585888,23487001573,537157389,427824766563
2014-10-21,713476074,24884170638,536925943,430306864259
2014-10-22,822328450,24355603992,494400773,432871031115
2014-10-23,817182870,25192335627,408886028,436985726360
2014-10-24,720012033,20161466320,372718592,439035804092
2014-10-27,799180180,20724534608,332511522,441744151692
2014-10-28,893030334,27452149524,404811012,440302363994
2014-10-29,943217116,37671197598,479029360,439652493432
2014-10-30,1049889692,39726432779,571062165,443442891214
2014-10-31,1093918443,42922083624,644906244,444331032561
2014-11-03,992203255,41008787115,648973897,449802419175
2014-11-04,955937193,39878215488,647859142,453445058673
2014-11-05,935088084,35525776693,650164593,456679655698
2014-11-06,883170931,31786397981,622440545,460287164514
2014-11-07,1139240456,43096954614,653784032,460794750926
2014-11-10,1208677572,43074937834,827763105,464090522420
2014-11-11,1203971043,59512181726,800379944,468511764722
2014-11-12,1093428955,38069159328,832982089,471792706194
2014-11-13,1089309031,47038257972,845053146,474102238964
2014-11-14,859203537,33685785420,809489891,474451979124
2014-11-17,796147149,33657280576,758355649,476797912474
2014-11-18,841441801,30864025290,671129141,479387054532
2014-11-19,892735104,29457074491,665399210,481691069603
2014-11-20,868061627,26772643084,695967139,483384872787
2014-11-21,1042151760,37965320439,669336273,485787498700
2014-11-24,1453456183,69936096428,662448084,499260287798
2014-11-25,1196315299,59098287139,700758902,509781678532
2014-11-26,1220782039,67013032917,755040399,518602496677
2014-11-27,1303976656,67309594520,805062141,522913808670
2014-11-28,1491509405,77397865373,889100209,528992449890
2014-12-01,1378086937,77440824794,921040710,538392930415
2014-12-02,1541232526,76886420448,923073399,545712569004
2014-12-03,1448412944,99700572568,903194391,552052549201
2014-12-04,1573490018,105227574155,941956620,569429142951
2014-12-05,1540867053,113474295457,892615083,575483801438
